House,Bias,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
    Ravenclaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    Gryffindor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    Slytherin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    Hufflepuff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gryffindor,-3.3511078069373927,-0.08284152589930299,,-1.8235918275059078,-2.39014155728703,,,3.461452275757486,,,-0.6987674633983589,,-0.29059033541405926,
Hufflepuff,-2.109862407839197,0.08505009863944205,,2.396322014930626,-2.749566644881931,,,-3.517658057365368,,,0.23980037499613704,,0.08237629010707288,
Ravenclaw,-2.7068748437914643,0.018941619201491653,,0.578775717478516,1.6202912126184887,,,1.6539889094358744,,,-0.4229872376168092,,2.1275737185710533,
Slytherin,-3.8057844836325447,0.025903891367351963,,-0.48867761840093255,3.1250447495540743,,,-2.3605811791356457,,,1.1784483929114014,,-1.8980649670975964,
